"Time" "Topic" "Detail"
"0930" "Registration and Coffee" "Assistance with installation of R and RStudio if needed."
"1000" "Introduction" "Finding your way round RStudio, typing in data, performing calculations and making a simple figure.  Using the manual."
"1115" "Working with Data" "Importing, visualising and summarizing data, the concept of 'tidy' data and some typical data tidying tasks."
"1230" "Lunch" ""
"1315" "Reproducible Reports using R Markdown" "More advanced figures, Organising analyses, updatable reports in a variety of output formats."
"1430" "Coffee" ""
"1445" "Working with your own data" "Create a report and figure for your data or use one of our examples."
"1600" "Departure" ""
